127.0.0.1 - - [04/Jun/2023:01:19:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 28529
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/user/img/slide/pnjsilver.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/user/img/slide/pnjdisney.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/user/img/slide/pnjstyle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/user/img/slide/pnjwatch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:13 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/product HTTP/1.1" 200 29571
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:16 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 9626
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:20 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/product HTTP/1.1" 200 29571
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:21 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 9626
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [04/Jun/2023:01:19:22 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
